MESSAGE SIZE IN B   	RUNTIME IN s        	BANDWIDTH IN Mb/s 
1                   	0.000001            	5.120000            
2                   	0.000001            	20.317460           
4                   	0.000001            	37.647059           
8                   	0.000001            	85.333333           
16                  	0.000001            	144.225352          
32                  	0.000001            	273.066667          
64                  	0.000001            	640.000000          
128                 	0.000001            	1122.191781         
256                 	0.000001            	1575.384615         
512                 	0.000001            	3900.952381         
1024                	0.000001            	6826.666667         
2048                	0.000002            	7801.904762         
4096                	0.000003            	10787.818930        
8192                	0.000004            	14169.945946        
16384               	0.000008            	14789.506347        
32768               	0.000016            	15307.678832        
65536               	0.000036            	13838.020455        
131072              	0.000057            	17682.563238        
262144              	0.000111            	17978.156880        
524288              	0.000210            	19023.943758        
1048576             	0.000414            	19338.615642        
2097152             	0.000806            	19854.399787        
4194304             	0.002133            	14999.578458        
8388608             	0.005236            	12223.530649        
16777216            	0.009919            	12905.116462        
33554432            	0.018435            	13886.618681
