MESSAGE SIZE IN B   	RUNTIME IN s        	BANDWIDTH IN Mb/s 
1                   	0.000002            	4.353741            
2                   	0.000002            	9.696970            
4                   	0.000001            	26.122449           
8                   	0.000001            	53.894737           
16                  	0.000001            	85.333333           
32                  	0.000001            	204.800000          
64                  	0.000001            	372.363636          
128                 	0.000001            	1388.474576         
256                 	0.000001            	1780.869565         
512                 	0.000001            	4890.746269         
1024                	0.000001            	9230.422535         
2048                	0.000001            	14246.956522        
4096                	0.000005            	6586.532663         
8192                	0.000007            	9263.038869         
16384               	0.000012            	10015.052531        
32768               	0.000024            	10315.553369        
65536               	0.000024            	20961.039480        
131072              	0.000033            	30012.908766        
262144              	0.000062            	32042.047364        
524288              	0.000113            	35261.067675        
1048576             	0.000222            	36035.474413        
2097152             	0.000484            	33078.107256        
4194304             	0.000956            	33484.533037        
8388608             	0.002220            	28825.283866        
16777216            	0.004314            	29674.246123        
33554432            	0.007516            	34061.847078
