MESSAGE SIZE IN B   	RUNTIME IN s        	BANDWIDTH IN Mb/s 
1                   	0.000097            	0.078422            
2                   	0.000093            	0.164334            
4                   	0.000094            	0.326239            
8                   	0.000092            	0.662012            
16                  	0.000089            	1.367339            
32                  	0.000088            	2.785258            
64                  	0.000086            	5.664500            
128                 	0.000090            	10.798840           
256                 	0.000090            	21.640470           
512                 	0.000091            	42.694463           
1024                	0.000090            	87.160527           
2048                	0.000092            	170.157082          
4096                	0.000098            	320.430265          
8192                	0.000103            	608.858437          
16384               	0.000111            	1124.237161         
32768               	0.000129            	1936.070901         
65536               	0.000368            	1360.417761         
131072              	0.000039            	25614.070229        
262144              	0.000077            	25982.989004        
524288              	0.000143            	27876.075434        
1048576             	0.000285            	28089.600268        
2097152             	0.000605            	26432.780196        
4194304             	0.001195            	26782.748760        
8388608             	0.002403            	26630.765781        
16777216            	0.005168            	24769.930840        
33554432            	0.009866            	25946.823384
