num_points,num_procs,walltime
8800000,1,0.321173
3100000,8,0.024364
6900000,8,0.040228
8100000,8,0.04889
9500000,4,0.099758
6900000,1,0.251071
9200000,1,0.332683
6900000,4,0.075215
8100000,4,0.084429
2700000,4,0.030405
3300000,1,0.126249
2600000,1,0.101088
2700000,1,0.102959
7100000,8,0.040103
800000,2,0.022209
2400000,4,0.031341
6500000,2,0.129708
800000,8,0.008391
7200000,1,0.263913
1500000,2,0.038713
8500000,12,0.029362
2300000,2,0.056517
5700000,12,0.031348
4600000,1,0.174495
2700000,2,0.064206
9800000,2,0.190481
2900000,4,0.037755
8000000,8,0.045224
2400000,12,0.019439
3600000,1,0.135615
400000,8,0.007378
6700000,12,0.031375
8300000,4,0.085839
3200000,12,0.018051
6200000,2,0.131578
6800000,4,0.077979
7700000,12,0.033705
1400000,1,0.056703
7000000,12,0.052289
7300000,8,0.043646
2500000,2,0.056693
3900000,2,0.077674
3600000,12,0.016933
600000,12,0.006174
9600000,1,0.353287
1200000,8,0.011483
2800000,4,0.035639
2200000,4,0.02855
1800000,2,0.044546
600000,1,0.030206
3800000,4,0.048282
7300000,4,0.084716
5100000,2,0.105362
3200000,1,0.119344
3500000,4,0.044718
8100000,12,0.040389
5400000,8,0.037745
4100000,8,0.029554
4800000,12,0.02638
2600000,4,0.034536
4600000,8,0.032072
8100000,1,0.304436
6400000,12,0.026084
5200000,2,0.105296
9800000,12,0.058374
7500000,12,0.038755
3000000,1,0.113179
700000,12,0.006872
4400000,12,0.020585
6500000,12,0.030717
5600000,2,0.115078
1000000,12,0.007571
2300000,1,0.089636
6200000,4,0.065824
6700000,4,0.076424
9200000,8,0.050646
1000000,1,0.041829
7800000,12,0.032767
9700000,4,0.098563
4200000,8,0.036737
6400000,1,0.24187
4500000,12,0.023381
7200000,8,0.041242
5400000,2,0.107026
6700000,1,0.244938
7800000,1,0.282821
2800000,1,0.10828
4700000,12,0.026281
5000000,4,0.064828
300000,8,0.005317
6200000,12,0.032361
4000000,1,0.148994
8700000,8,0.052622
6000000,12,0.023672
100000,2,0.003858
7600000,1,0.279326
100000,12,0.002098
2800000,12,0.022355
3000000,12,0.021786
4900000,2,0.096599
300000,12,0.004551
8600000,12,0.039312
1800000,4,0.025641
5100000,1,0.195683
600000,8,0.00713
7800000,4,0.083886
8000000,2,0.159565
6800000,2,0.139482
5800000,12,0.028915
4400000,1,0.165919
4200000,2,0.089263
1200000,1,0.053888
7000000,1,0.259274
6800000,1,0.252196
1100000,8,0.011513
7500000,2,0.153112
2200000,8,0.017018
7900000,2,0.156708
900000,4,0.018217
8300000,8,0.049444
3800000,2,0.075875
5900000,4,0.067021
5100000,4,0.056645
6000000,4,0.06157
100000,8,0.001894
4300000,4,0.050738
1400000,8,0.012212
8600000,2,0.162366
2200000,1,0.085405
9200000,2,0.179064
4400000,4,0.052993
6100000,1,0.233383
3800000,12,0.020081
6300000,1,0.23496
6100000,12,0.034397
3800000,8,0.028405
600000,4,0.010265
2200000,2,0.050069
4500000,4,0.050856
5900000,8,0.037496
9600000,12,0.037013
6900000,12,0.040161
5200000,12,0.029203
9600000,4,0.096556
4700000,1,0.174373
2900000,2,0.064083
700000,4,0.011978
3600000,4,0.04801
1700000,2,0.041166
8200000,2,0.159582
7000000,8,0.046305
9500000,12,0.036819
4000000,4,0.047159
3600000,8,0.026117
8200000,8,0.044457
9900000,4,0.1008
2100000,1,0.08283
5500000,2,0.112152
8500000,8,0.049789
10000000,4,0.099744
7700000,4,0.0808
8500000,1,0.31926
8600000,8,0.048408
100000,1,0.006842
4000000,2,0.084256
4700000,2,0.094958
5300000,4,0.05913
4300000,1,0.162303
5600000,1,0.214257
7200000,4,0.079896
700000,2,0.021506
9900000,2,0.194661
9300000,1,0.341757
10000000,2,0.194688
1200000,4,0.013532
1700000,12,0.011511
1800000,8,0.013587
9400000,12,0.067497
1000000,4,0.021417
3900000,4,0.048442
7900000,8,0.047665
9800000,4,0.102239
6100000,2,0.119885
8500000,2,0.162676
9300000,8,0.053756
7800000,2,0.156602
7700000,2,0.14792
500000,8,0.007211
3400000,8,0.034639
2600000,2,0.064833
6600000,1,0.2455
3200000,4,0.039063
2800000,8,0.020736
9900000,8,0.060048
7300000,1,0.26702
1700000,8,0.016456
1600000,4,0.021615
9300000,2,0.1915
500000,1,0.02869
1200000,2,0.031436
2000000,8,0.017088
3000000,4,0.039519
5600000,4,0.059057
1500000,12,0.009344
9400000,8,0.053738
7100000,1,0.259743
8200000,4,0.089821
1000000,8,0.010619
