ncores,npoints,scalable,time
2,6000000,0,0.118213
7,8000000,0,0.054648
6,9000000,0,0.061723
8,10000000,0,0.055641
1,10000000,0,0.368076
6,10000000,0,0.070624
8,7000000,0,0.041639
7,4000000,0,0.028948
6,5000000,0,0.038683
2,1000000,0,0.026677
4,1000000,0,0.012033
1,9000000,0,0.335628
11,6000000,0,0.029139
4,6000000,0,0.070753
5,8000000,0,0.069318
3,2000000,0,0.038758
2,3000000,0,0.063217
3,9000000,0,0.118526
2,10000000,0,0.188098
12,7000000,0,0.036176
7,6000000,0,0.041425
10,5000000,0,0.027971
7,10000000,0,0.061617
4,4000000,0,0.044334
10,7000000,0,0.03569
8,9000000,0,0.060266
12,2000000,0,0.017757
6,6000000,0,0.049003
10,6000000,0,0.033244
4,8000000,0,0.084252
11,4000000,0,0.021693
5,9000000,0,0.078492
9,1000000,0,0.008786
9,8000000,0,0.039453
6,8000000,0,0.057804
9,4000000,0,0.028228
6,3000000,0,0.025388
5,5000000,0,0.04488
10,9000000,0,0.049041
4,9000000,0,0.099846
12,1000000,0,0.00847
4,5000000,0,0.058564
5,2000000,0,0.023423
3,1000000,0,0.022702
1,3000000,0,0.114167
4,10000000,0,0.105252
3,7000000,0,0.095258
8,6000000,0,0.042667
5,3000000,0,0.031499
7,3000000,0,0.032656
1,5000000,0,0.185591
6,2000000,0,0.023202
12,6000000,0,0.042811
1,6000000,0,0.221779
5,7000000,0,0.060289
9,6000000,0,0.044268
6,4000000,0,0.03669
12,3000000,0,0.019945
11,5000000,0,0.025341
8,2000000,0,0.018111
7,2000000,0,0.019726
8,8000000,0,0.048725
1,7000000,0,0.259999
12,9000000,0,0.037107
1,1000000,0,0.042487
3,10000000,0,0.136108
8,1000000,0,0.009553
2,4000000,0,0.0814
3,4000000,0,0.064873
5,4000000,0,0.040118
9,7000000,0,0.040908
1,2000000,0,0.079821
12,5000000,0,0.029998
1,8000000,0,0.295472
9,5000000,0,0.032054
12,4000000,0,0.036648
9,2000000,0,0.016109
2,9000000,0,0.173649
7,1000000,0,0.011308
11,10000000,0,0.041983
11,1000000,0,0.011437
6,7000000,0,0.055635
2,2000000,0,0.042367
10,8000000,0,0.037726
12,8000000,0,0.03914
11,7000000,0,0.031191
12,10000000,0,0.055278
7,9000000,0,0.05994
8,4000000,0,0.02837
2,7000000,0,0.140143
2,5000000,0,0.102232
5,1000000,0,0.014052
3,5000000,0,0.074432
2,8000000,0,0.159727
8,5000000,0,0.030346
11,2000000,0,0.014569
10,10000000,0,0.060676
4,2000000,0,0.026548
6,1000000,0,0.011512
11,8000000,0,0.048501
9,9000000,0,0.0496
4,3000000,0,0.036383
11,9000000,0,0.046868
10,1000000,0,0.00981
8,3000000,0,0.020612
7,7000000,0,0.047148
5,10000000,0,0.082438
10,3000000,0,0.028135
11,3000000,0,0.016873
10,2000000,0,0.017823
3,8000000,0,0.103419
3,3000000,0,0.04792
5,6000000,0,0.052073
10,4000000,0,0.031713
9,3000000,0,0.031998
1,4000000,0,0.16035
4,7000000,0,0.073987
9,10000000,0,0.049634
3,6000000,0,0.079136
7,5000000,0,0.035685
