ncores,npoints,scalable,time
9,9000000,1,0.359874
2,9000000,1,0.343474
1,6000000,1,0.222684
8,9000000,1,0.347238
8,8000000,1,0.312945
1,1000000,1,0.042577
3,9000000,1,0.337329
10,8000000,1,0.310658
3,2000000,1,0.08084
1,2000000,1,0.081196
10,7000000,1,0.277925
11,3000000,1,0.129306
6,7000000,1,0.275983
6,4000000,1,0.161614
12,4000000,1,0.162062
5,10000000,1,0.391586
5,6000000,1,0.237041
6,10000000,1,0.390648
6,8000000,1,0.308604
10,10000000,1,0.385192
9,2000000,1,0.084888
3,3000000,1,0.124128
11,8000000,1,0.313082
4,1000000,1,0.053183
2,4000000,1,0.160696
3,4000000,1,0.162487
1,5000000,1,0.185552
8,4000000,1,0.166844
9,6000000,1,0.237642
12,8000000,1,0.322219
9,10000000,1,0.402828
2,2000000,1,0.086217
10,4000000,1,0.159074
3,10000000,1,0.385485
1,8000000,1,0.294427
3,1000000,1,0.049053
5,9000000,1,0.346608
8,1000000,1,0.04659
12,9000000,1,0.36481
9,8000000,1,0.312192
5,5000000,1,0.204229
3,8000000,1,0.300908
10,2000000,1,0.087169
10,9000000,1,0.363241
11,4000000,1,0.170787
7,5000000,1,0.199929
12,2000000,1,0.087953
12,7000000,1,0.273934
7,1000000,1,0.048926
6,1000000,1,0.042633
4,4000000,1,0.162938
5,2000000,1,0.084708
9,1000000,1,0.04362
7,9000000,1,0.347961
7,2000000,1,0.085272
11,6000000,1,0.234827
12,10000000,1,0.403577
4,3000000,1,0.118055
12,5000000,1,0.198076
4,10000000,1,0.374898
4,9000000,1,0.334992
9,3000000,1,0.121656
3,7000000,1,0.269043
12,3000000,1,0.127357
11,2000000,1,0.085368
2,5000000,1,0.192015
4,8000000,1,0.299268
7,4000000,1,0.16501
12,6000000,1,0.248648
2,7000000,1,0.262319
4,6000000,1,0.230612
6,9000000,1,0.352965
8,7000000,1,0.272819
10,1000000,1,0.048707
5,3000000,1,0.123259
2,1000000,1,0.045676
7,8000000,1,0.312461
11,1000000,1,0.044
9,7000000,1,0.282068
8,5000000,1,0.205483
2,3000000,1,0.121353
8,2000000,1,0.080452
11,10000000,1,0.400058
3,6000000,1,0.230221
10,6000000,1,0.244218
1,9000000,1,0.326624
12,1000000,1,0.051141
7,6000000,1,0.232566
4,2000000,1,0.083546
5,8000000,1,0.30835
10,5000000,1,0.197264
1,7000000,1,0.254635
3,5000000,1,0.190718
9,5000000,1,0.197078
4,7000000,1,0.261992
2,10000000,1,0.373977
7,7000000,1,0.277468
6,6000000,1,0.238911
2,6000000,1,0.228737
1,4000000,1,0.152464
5,1000000,1,0.047684
11,7000000,1,0.273744
7,3000000,1,0.123379
5,7000000,1,0.274092
6,2000000,1,0.081791
9,4000000,1,0.160837
10,3000000,1,0.123032
2,8000000,1,0.299485
4,5000000,1,0.202761
8,3000000,1,0.123904
8,6000000,1,0.234292
11,5000000,1,0.203334
5,4000000,1,0.162151
6,3000000,1,0.121421
1,3000000,1,0.116272
8,10000000,1,0.405715
1,10000000,1,0.366843
11,9000000,1,0.357798
6,5000000,1,0.199953
7,10000000,1,0.383039
