num_points,num_procs,walltime
7000000,4,0.072117
10000000,8,0.059431
6000000,7,0.043983
5000000,7,0.037511
2000000,10,0.014937
8000000,12,0.047156
2000000,1,0.077176
2000000,8,0.019571
5000000,10,0.033409
1000000,2,0.026998
4000000,4,0.044699
3000000,4,0.035783
10000000,10,0.044147
2000000,5,0.016835
10000000,4,0.101226
4000000,7,0.029848
9000000,4,0.092799
4000000,8,0.025131
5000000,12,0.02477
1000000,9,0.010006
5000000,11,0.022627
7000000,10,0.038063
2000000,7,0.019774
10000000,5,0.084687
1000000,5,0.013748
1000000,6,0.011776
7000000,12,0.037496
9000000,2,0.175723
5000000,4,0.056993
3000000,6,0.027271
8000000,5,0.075636
5000000,3,0.080567
5000000,9,0.03152
7000000,2,0.137283
3000000,11,0.015425
8000000,7,0.052614
3000000,3,0.048144
7000000,1,0.259246
7000000,3,0.098189
6000000,1,0.220695
7000000,7,0.048193
4000000,3,0.058909
4000000,2,0.081564
4000000,6,0.035515
1000000,4,0.017092
2000000,3,0.033739
9000000,5,0.078351
8000000,10,0.043907
9000000,12,0.031012
6000000,2,0.11899
5000000,6,0.04337
3000000,2,0.064641
4000000,9,0.032972
2000000,12,0.01724
10000000,6,0.071986
7000000,11,0.034582
10000000,1,0.363562
6000000,5,0.051629
9000000,1,0.336808
1000000,12,0.011979
1000000,7,0.009887
5000000,2,0.100259
2000000,4,0.028829
6000000,9,0.0336
5000000,5,0.045262
3000000,8,0.022434
6000000,4,0.064676
10000000,2,0.19855
3000000,9,0.022975
9000000,10,0.046661
7000000,9,0.038477
9000000,7,0.056143
2000000,6,0.023584
4000000,5,0.044347
8000000,4,0.084255
4000000,10,0.022373
8000000,8,0.045469
1000000,11,0.006515
1000000,8,0.009622
6000000,3,0.090554
3000000,10,0.018728
10000000,12,0.038656
6000000,6,0.048857
8000000,1,0.298286
7000000,5,0.060823
8000000,6,0.055897
4000000,11,0.026175
7000000,8,0.04367
6000000,12,0.026221
5000000,8,0.030288
8000000,3,0.111603
8000000,9,0.043218
6000000,10,0.033137
2000000,11,0.014512
3000000,12,0.018833
9000000,9,0.04881
1000000,1,0.042825
9000000,3,0.129407
1000000,3,0.023417
2000000,2,0.046143
8000000,2,0.155015
10000000,11,0.038787
5000000,1,0.178299
2000000,9,0.015525
8000000,11,0.034962
9000000,11,0.036048
9000000,8,0.05087
3000000,5,0.031542
4000000,12,0.022424
1000000,10,0.008465
7000000,6,0.052252
10000000,3,0.138682
3000000,1,0.112703
4000000,1,0.146321
6000000,8,0.037377
6000000,11,0.034586
10000000,9,0.052764
3000000,7,0.023227
10000000,7,0.063963
9000000,6,0.063051
