ncores,npoints,scalable,time
8,7000000,0,0.045677
6,6700000,0,0.044708
2,4700000,0,0.095985
12,1700000,0,0.014758
1,100000,0,0.006987
4,2700000,0,0.035051
10,1600000,0,0.011783
4,1900000,0,0.024029
6,1700000,0,0.019412
12,5500000,0,0.024436
10,200000,0,0.001961
1,3300000,0,0.128684
2,2300000,0,0.053442
6,3800000,0,0.03274
12,4800000,0,0.0201
4,100000,0,0.001758
12,8300000,0,0.044409
8,1000000,0,0.015259
1,5600000,0,0.211241
10,400000,0,0.005148
12,9800000,0,0.040303
2,10000000,0,0.1906
8,4900000,0,0.034664
6,4800000,0,0.035548
1,9300000,0,0.338179
10,100000,0,0.001054
4,9100000,0,0.092156
10,4400000,0,0.02639
8,3800000,0,0.022439
2,4600000,0,0.101524
8,9800000,0,0.053354
2,6500000,0,0.126987
2,6800000,0,0.131654
10,7900000,0,0.040701
10,1900000,0,0.01291
8,2600000,0,0.018123
2,800000,0,0.025617
10,8800000,0,0.040921
8,2900000,0,0.021482
8,9500000,0,0.052524
4,8900000,0,0.095022
12,900000,0,0.006215
6,400000,0,0.004918
2,3400000,0,0.071813
10,8500000,0,0.049962
1,4200000,0,0.159647
2,8700000,0,0.169705
2,4800000,0,0.104442
2,2200000,0,0.051475
10,1300000,0,0.011696
8,6500000,0,0.037401
1,5400000,0,0.203288
10,9700000,0,0.052872
2,5800000,0,0.113077
8,7500000,0,0.043814
10,3100000,0,0.019206
2,1500000,0,0.036346
12,3700000,0,0.027547
4,5800000,0,0.061733
10,7000000,0,0.035428
12,8800000,0,0.053235
1,2500000,0,0.095773
6,4500000,0,0.040726
6,5800000,0,0.044206
10,9200000,0,0.04405
4,4500000,0,0.049342
2,7100000,0,0.144419
4,2800000,0,0.038761
8,8900000,0,0.049939
2,3800000,0,0.078609
8,9200000,0,0.053073
4,5400000,0,0.058188
12,1200000,0,0.009038
6,2300000,0,0.022199
2,4000000,0,0.084741
4,8200000,0,0.084319
6,8100000,0,0.061131
1,1900000,0,0.076181
4,5300000,0,0.059668
8,1900000,0,0.016488
4,8300000,0,0.083768
6,9000000,0,0.066754
8,6900000,0,0.04136
1,4900000,0,0.185553
8,6200000,0,0.040347
6,8800000,0,0.063512
8,1800000,0,0.017422
10,2200000,0,0.022026
12,9000000,0,0.038793
6,6000000,0,0.044345
1,9800000,0,0.355924
8,8800000,0,0.050616
10,5000000,0,0.03327
6,600000,0,0.003772
12,7100000,0,0.048315
2,3500000,0,0.072954
4,600000,0,0.010254
12,9200000,0,0.035341
4,9500000,0,0.099308
2,9100000,0,0.179308
1,1000000,0,0.042856
1,7700000,0,0.280505
12,7400000,0,0.036153
4,6600000,0,0.077704
2,9300000,0,0.179416
12,3100000,0,0.014595
10,2300000,0,0.016625
12,6100000,0,0.030487
1,1200000,0,0.042757
4,4600000,0,0.053555
8,8500000,0,0.048
6,5500000,0,0.046322
4,6200000,0,0.067287
10,2600000,0,0.0197
2,7300000,0,0.135447
2,5900000,0,0.116102
2,5000000,0,0.096428
6,2700000,0,0.030961
1,9600000,0,0.353309
12,4900000,0,0.025492
4,5600000,0,0.058426
12,1600000,0,0.012612
2,3600000,0,0.073042
6,300000,0,0.004006
8,8600000,0,0.047223
2,9600000,0,0.187301
1,6900000,0,0.2581
6,6900000,0,0.047356
6,9100000,0,0.070523
2,5200000,0,0.099652
8,9900000,0,0.060547
6,9300000,0,0.068715
1,9100000,0,0.330081
10,3300000,0,0.022794
1,7500000,0,0.27646
8,2700000,0,0.023478
10,9000000,0,0.050784
2,5300000,0,0.109661
8,7200000,0,0.03873
4,8700000,0,0.096702
12,4100000,0,0.025649
8,8100000,0,0.051222
8,2200000,0,0.018016
12,4600000,0,0.023214
12,8400000,0,0.034283
4,1400000,0,0.019607
2,9500000,0,0.18236
12,300000,0,0.004228
1,9500000,0,0.354423
1,8500000,0,0.310957
1,5900000,0,0.215585
12,7000000,0,0.039033
6,8300000,0,0.062895
12,6700000,0,0.033936
6,7700000,0,0.060453
4,5100000,0,0.056883
2,2500000,0,0.057632
6,8600000,0,0.064431
10,4500000,0,0.033186
2,7000000,0,0.139036
12,3600000,0,0.023823
12,6000000,0,0.031001
4,4000000,0,0.047039
6,900000,0,0.010585
6,5900000,0,0.047891
6,5300000,0,0.042951
1,2100000,0,0.080499
1,5500000,0,0.20482
1,900000,0,0.033702
12,9900000,0,0.036839
4,9400000,0,0.093821
10,600000,0,0.005371
6,4300000,0,0.035973
1,7300000,0,0.265948
12,8500000,0,0.034483
1,6500000,0,0.238132
6,1200000,0,0.014311
2,7700000,0,0.152984
1,8100000,0,0.299097
10,1700000,0,0.011667
4,700000,0,0.010699
8,6300000,0,0.039675
4,6700000,0,0.069683
2,1600000,0,0.037988
4,1700000,0,0.025771
10,2000000,0,0.015494
12,3800000,0,0.020447
8,5100000,0,0.036474
2,4300000,0,0.089058
12,1300000,0,0.00843
1,10000000,0,0.361277
2,7800000,0,0.159511
10,4000000,0,0.022297
2,8300000,0,0.158001
6,4000000,0,0.030274
2,8100000,0,0.157053
4,4900000,0,0.055635
10,7800000,0,0.057801
2,8800000,0,0.173051
6,2400000,0,0.022798
1,800000,0,0.037804
12,3200000,0,0.029229
6,2200000,0,0.022507
2,900000,0,0.027112
6,10000000,0,0.074713
2,8600000,0,0.166467
10,3400000,0,0.022261
10,5600000,0,0.032419
1,3700000,0,0.145051
8,4300000,0,0.028682
2,400000,0,0.014176
12,6600000,0,0.034361
2,9000000,0,0.18144
8,6800000,0,0.050489
2,1200000,0,0.027453
8,5300000,0,0.041841
10,8100000,0,0.043627
8,1600000,0,0.016955
8,9600000,0,0.059784
6,7500000,0,0.053767
4,9800000,0,0.098063
10,9500000,0,0.046517
6,2600000,0,0.028502
8,800000,0,0.012782
6,1800000,0,0.019551
8,9300000,0,0.053037
8,4800000,0,0.03095
8,8700000,0,0.052993
6,1500000,0,0.018067
12,4500000,0,0.027596
8,900000,0,0.010365
12,700000,0,0.010205
8,5700000,0,0.034494
1,5000000,0,0.186359
12,4700000,0,0.027555
10,3000000,0,0.024268
1,8300000,0,0.302974
12,7800000,0,0.032555
12,2700000,0,0.019694
4,6000000,0,0.06555
8,9100000,0,0.056332
8,4600000,0,0.028879
4,8400000,0,0.092157
4,900000,0,0.016054
8,6400000,0,0.037645
4,3000000,0,0.035219
8,8000000,0,0.052691
12,2500000,0,0.012259
4,8800000,0,0.086447
10,900000,0,0.008213
12,1800000,0,0.019902
1,7600000,0,0.276522
10,8600000,0,0.055006
1,2700000,0,0.10364
6,7400000,0,0.056324
1,4400000,0,0.166491
10,9900000,0,0.049679
6,1600000,0,0.019885
6,6600000,0,0.049951
6,1000000,0,0.01169
10,4800000,0,0.028637
4,3900000,0,0.047274
12,6300000,0,0.03411
2,4900000,0,0.104011
6,5100000,0,0.039845
6,4900000,0,0.039969
1,7000000,0,0.258746
2,2400000,0,0.052004
1,7400000,0,0.268722
10,9100000,0,0.04321
12,4000000,0,0.033647
6,7900000,0,0.054653
1,3800000,0,0.144068
2,1700000,0,0.037764
6,8500000,0,0.062758
6,6200000,0,0.051836
6,5700000,0,0.043245
4,2300000,0,0.035759
2,1900000,0,0.042765
8,4700000,0,0.032346
10,1500000,0,0.010312
8,6100000,0,0.039936
1,8000000,0,0.293115
1,9700000,0,0.358901
4,5500000,0,0.053296
4,7900000,0,0.082634
12,9100000,0,0.03881
6,7800000,0,0.063029
8,600000,0,0.012035
4,5000000,0,0.058204
4,8000000,0,0.083133
10,5400000,0,0.02709
6,7000000,0,0.053044
8,1700000,0,0.01612
4,7000000,0,0.073929
10,5200000,0,0.028226
4,1100000,0,0.01959
6,7100000,0,0.057803
8,3300000,0,0.028454
2,4200000,0,0.092389
4,2100000,0,0.028955
4,2500000,0,0.031586
8,700000,0,0.012208
8,4100000,0,0.027548
12,500000,0,0.008979
8,5200000,0,0.043057
1,6400000,0,0.234377
2,6600000,0,0.128211
2,6700000,0,0.130735
1,5300000,0,0.194819
6,4200000,0,0.036533
10,5300000,0,0.029537
2,8000000,0,0.171812
1,1100000,0,0.045206
8,3500000,0,0.030419
4,6400000,0,0.07612
1,6700000,0,0.251428
2,1000000,0,0.029448
4,9900000,0,0.101959
12,8600000,0,0.03397
12,6800000,0,0.04288
6,8900000,0,0.059444
12,1100000,0,0.014746
1,8900000,0,0.322315
6,9700000,0,0.064527
10,5100000,0,0.036441
10,1400000,0,0.011825
2,1800000,0,0.037573
4,9600000,0,0.095902
4,7700000,0,0.081673
6,1900000,0,0.022514
6,6400000,0,0.048656
8,1500000,0,0.015457
4,4100000,0,0.05078
1,5200000,0,0.192752
1,9400000,0,0.341368
8,8400000,0,0.051296
2,600000,0,0.025619
2,8400000,0,0.169477
6,100000,0,0.001145
10,10000000,0,0.052556
6,3300000,0,0.030393
10,3500000,0,0.021263
2,6300000,0,0.130298
10,300000,0,0.004123
10,8700000,0,0.04118
1,6200000,0,0.235736
6,8700000,0,0.063341
4,300000,0,0.005186
8,3000000,0,0.031217
1,1600000,0,0.063851
12,1000000,0,0.009692
4,1800000,0,0.030153
12,3500000,0,0.028142
8,200000,0,0.003767
12,2800000,0,0.015638
8,9400000,0,0.055848
8,6700000,0,0.050668
4,9000000,0,0.090672
2,9800000,0,0.197022
12,7300000,0,0.028041
