ncores,size,scalable,time
9,1000,0,0.134934
6,800,0,0.08526
1,800,0,0.289634
2,500,0,0.045249
11,2000,0,1.918443
12,1000,0,0.12703
4,800,0,0.098227
3,800,0,0.114489
11,1000,0,0.11775
1,500,0,0.074189
1,2000,0,6.788576
9,1500,0,0.402895
2,800,0,0.157985
5,2000,0,2.122021
5,800,0,0.087683
8,500,0,0.026065
1,1500,0,2.695402
12,800,0,0.069848
10,2000,0,1.753098
4,2000,0,2.032683
3,1500,0,0.904286
4,500,0,0.037431
7,500,0,0.026236
5,1500,0,0.619525
6,1500,0,0.519603
7,1500,0,0.479542
4,1500,0,0.662982
5,1000,0,0.15061
6,500,0,0.032262
5,500,0,0.029645
9,500,0,0.032556
8,800,0,0.070696
10,800,0,0.063884
11,1500,0,0.392475
6,1000,0,0.142409
9,800,0,0.066237
8,1500,0,0.45857
2,1500,0,1.124043
12,500,0,0.042494
7,2000,0,2.028511
7,1000,0,0.129476
10,1500,0,0.419429
7,800,0,0.073558
2,1000,0,0.311535
12,2000,0,1.680261
11,800,0,0.076533
1,1000,0,0.572451
10,500,0,0.02338
10,1000,0,0.134883
9,2000,0,2.032914
11,500,0,0.028662
3,1000,0,0.244486
2,2000,0,4.217375
3,500,0,0.037852
12,1500,0,0.425522
6,2000,0,1.789775
3,2000,0,3.232534
4,1000,0,0.177065
8,2000,0,1.712288
8,1000,0,0.147046
