ncores,size,scalable,time
8,400,1,0.081713
1,400,1,0.038737
11,500,1,0.165985
9,200,1,0.019135
5,800,1,0.446241
7,1000,1,1.722129
6,1000,1,1.143547
11,400,1,0.096152
3,400,1,0.053152
11,1000,1,3.039496
12,400,1,0.086216
4,500,1,0.101453
10,1000,1,2.559044
8,200,1,0.019423
7,200,1,0.016766
12,200,1,0.033808
9,400,1,0.072974
7,400,1,0.078656
1,1000,1,0.555388
3,500,1,0.087067
10,800,1,0.812528
4,400,1,0.05295
9,1000,1,2.432712
5,200,1,0.012514
4,1000,1,0.796793
2,400,1,0.050109
2,800,1,0.360762
6,500,1,0.1318
1,500,1,0.072054
9,800,1,0.765866
7,500,1,0.130526
5,500,1,0.109661
12,1000,1,2.909557
8,1000,1,1.791355
5,1000,1,1.177131
8,500,1,0.143007
3,800,1,0.317369
1,800,1,0.287447
2,500,1,0.076861
2,1000,1,0.687016
4,800,1,0.409884
2,200,1,0.010971
10,400,1,0.098305
11,200,1,0.028924
6,400,1,0.076035
12,800,1,1.106501
9,500,1,0.133586
3,1000,1,0.75377
1,200,1,0.004694
7,800,1,0.529907
8,800,1,0.527344
6,800,1,0.472919
5,400,1,0.061446
4,200,1,0.013013
10,200,1,0.0252
11,800,1,1.118359
6,200,1,0.014116
3,200,1,0.010415
10,500,1,0.142495
12,500,1,0.162841
