ncores,size,scalable,time
1,100,0,0.00067
2,100,0,0.000773
8,100,0,0.002383
10,400,0,0.018889
8,400,0,0.014255
10,1000,0,0.140691
12,200,0,0.004652
10,700,0,0.055542
8,300,0,0.017132
10,800,0,0.097402
8,900,0,0.095554
4,100,0,0.000703
6,300,0,0.009153
1,700,0,0.201296
6,900,0,0.118186
4,300,0,0.010543
6,800,0,0.085931
1,600,0,0.124924
6,700,0,0.063269
2,300,0,0.01086
2,800,0,0.162833
4,400,0,0.020544
12,500,0,0.021758
10,100,0,0.002261
2,500,0,0.048115
12,700,0,0.057781
8,500,0,0.025935
6,400,0,0.016602
4,800,0,0.101148
6,100,0,0.00084
2,1000,0,0.30465
10,200,0,0.003947
2,700,0,0.109244
8,700,0,0.066597
6,200,0,0.002837
8,800,0,0.070978
4,1000,0,0.179905
12,800,0,0.098321
10,300,0,0.048347
12,900,0,0.107736
2,400,0,0.026478
8,200,0,0.004455
2,600,0,0.073555
12,300,0,0.012191
12,100,0,0.002287
4,500,0,0.037111
6,500,0,0.031099
10,500,0,0.02463
4,700,0,0.083778
4,900,0,0.158733
10,600,0,0.05211
8,600,0,0.044478
8,1000,0,0.153263
4,600,0,0.044972
1,400,0,0.034991
12,1000,0,0.140803
2,200,0,0.005177
1,900,0,0.415698
10,900,0,0.087186
1,500,0,0.073058
6,1000,0,0.153626
1,300,0,0.018452
4,200,0,0.003492
12,400,0,0.040145
1,1000,0,0.55668
1,200,0,0.004672
6,600,0,0.040749
12,600,0,0.043122
1,800,0,0.284812
2,900,0,0.228614
