ncores,size,scalable,time
1,200,1,0.008894
12,200,1,0.024156
2,500,1,0.084727
10,800,1,0.827629
2,600,1,0.159159
12,600,1,0.284065
8,700,1,0.358907
8,400,1,0.070943
1,800,1,0.289303
2,800,1,0.358327
6,200,1,0.013335
8,100,1,0.003372
8,300,1,0.044152
4,100,1,0.002369
12,300,1,0.051922
1,700,1,0.203416
6,900,1,0.693704
2,900,1,0.437249
8,500,1,0.137685
2,700,1,0.213146
10,600,1,0.247948
4,900,1,0.622087
8,900,1,1.102193
2,400,1,0.050615
4,400,1,0.053513
4,200,1,0.014342
10,100,1,0.004386
4,300,1,0.034897
4,1000,1,0.73172
1,500,1,0.070485
12,700,1,0.540809
8,800,1,0.518334
1,300,1,0.015212
12,500,1,0.173426
2,100,1,0.000773
12,1000,1,2.905472
6,400,1,0.072182
4,800,1,0.399318
10,400,1,0.100287
6,1000,1,1.143436
1,1000,1,0.566449
10,200,1,0.027335
10,700,1,0.389828
8,1000,1,2.270641
4,600,1,0.161703
2,200,1,0.011074
8,200,1,0.014804
2,300,1,0.023058
6,800,1,0.4216
10,300,1,0.039194
1,600,1,0.130644
6,700,1,0.318703
12,900,1,2.004424
2,1000,1,0.677913
1,100,1,0.000671
6,100,1,0.003823
4,500,1,0.095017
10,900,1,1.573242
12,800,1,1.074914
1,900,1,0.42319
6,500,1,0.131085
1,400,1,0.044746
6,300,1,0.03397
8,600,1,0.198418
10,1000,1,2.42163
10,500,1,0.135962
12,400,1,0.104382
12,100,1,0.008346
6,600,1,0.198276
4,700,1,0.302883
